p5,p6,matrix_size_x,matrix_size_y,p2,p1,p8,p7,p3,p4,performance
2,25,4856,4331,181,96,40,84,10,32,0.129183
6,1,1454,3294,60,23,71,57,21,7,0.0200969
8,13,2272,2378,130,149,67,79,28,11,0.0420346
6,19,2513,2220,156,101,37,41,18,27,0.0363274
25,22,1490,3500,88,205,19,40,10,30,0.0191312
10,1,1377,3265,110,196,97,6,20,26,0.0194628
15,30,4920,3006,100,106,90,7,28,8,0.0706591
13,26,2662,1194,52,138,29,80,28,11,0.0214284
18,20,1893,2992,86,117,83,74,5,16,0.023595
13,8,2427,3804,216,44,32,24,22,8,0.0627707
17,12,4423,2072,75,172,69,9,8,16,0.0390358
29,16,2455,1239,167,100,4,1,2,9,0.0197536
8,11,2809,2277,200,215,91,96,14,10,0.0456182
2,22,1424,1095,36,30,39,27,4,9,0.0170866
4,9,4202,2065,104,96,66,21,13,24,0.0397945
8,30,3987,4170,64,164,11,68,27,20,0.0687798
1,20,1561,1360,32,205,62,47,2,8,0.0231192
28,2,4465,1279,169,93,95,5,26,13,0.028098
8,18,1234,3048,27,207,39,24,31,16,0.0179172
11,23,3684,1910,121,117,11,76,20,7,0.0336127
28,27,2675,4056,29,87,99,48,31,5,0.0445672
29,31,3417,4344,20,151,45,35,22,29,0.0801098
14,3,1236,2683,56,40,51,41,23,24,0.0147593
22,13,4817,2622,11,220,65,44,11,24,0.04729
18,22,3199,3661,42,151,84,77,9,17,0.0424707
30,10,1576,3068,53,175,21,97,30,17,0.0183617
4,26,3070,3172,143,242,22,71,24,9,0.0615118
4,4,3187,2755,53,126,12,91,7,14,0.0415219
12,19,3030,1650,242,144,42,20,31,13,0.038118
4,4,1860,2515,33,160,26,76,2,3,0.0260577
21,21,3966,4810,88,196,70,51,26,8,0.0789493
22,18,4733,1470,64,247,63,74,7,14,0.0339914
8,7,3608,1259,148,213,47,44,2,24,0.0297908
9,31,3303,4701,39,255,81,35,28,7,0.0758813
16,19,3701,2450,111,239,92,98,7,16,0.0459236
12,21,3767,2720,16,69,49,15,22,12,0.0760734
22,26,4511,1297,94,47,51,41,19,1,0.022848
16,3,1290,1658,175,245,65,91,16,22,0.0178631
